slug,stage,calls,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,latency_s,est_usd,degraded_calls
bank_audit,planner,1,28,576,0,2491,8.37,0.090326,0
bank_audit,synth_bundle,1,1433,3645,4666,0,35.062,0.301869,0
bank_audit,repair_bundle,5,8982,18808,12345,20731,184.494,1.952554,0
bank_audit,refine_child,2,2639,1411,3163,3163,15.162,0.209461,0
bank_audit,refine_parent,1,2932,1833,0,2217,19.047,0.223024,0
cache_store,planner,1,2503,460,0,0,8.685,0.072045,0
cache_store,synth_bundle,1,1312,2567,4666,0,25.632,0.219204,0
cache_store,repair_bundle,3,7487,11002,7407,9980,108.84,1.135691,0
cache_store,refine_child,2,3007,1823,6326,0,20.787,0.191319,0
cache_store,refine_parent,1,3207,1450,2217,0,15.323,0.160181,0
leader_log,planner,1,2482,468,0,0,6.676,0.07233,0
leader_log,synth_bundle,1,1300,3644,4666,0,36.654,0.299799,0
leader_log,repair_bundle,5,10777,21653,12345,22355,211.042,2.223304,0
producer_consumer,planner,1,2448,649,0,0,8.541,0.085395,0
producer_consumer,synth_bundle,1,1404,4421,4666,0,39.876,0.359634,0
producer_consumer,repair_bundle,5,12515,28258,12345,28815,283.873,2.865874,0
rw_lock,planner,1,2438,535,0,0,7.24,0.076695,0
rw_lock,synth_bundle,1,1319,5570,0,4666,48.711,0.525022,0
rw_lock,repair_bundle,2,8176,12474,4938,7172,114.259,1.200072,0
rw_lock,refine_child,2,3807,3503,3163,3163,32.071,0.383881,0
rw_lock,refine_parent,1,5079,2988,0,2217,30.395,0.341854,0
two_phase_commit,planner,1,2449,623,0,0,10.036,0.08346,0
two_phase_commit,synth_bundle,1,1404,5703,4666,0,51.031,0.455784,0
two_phase_commit,repair_bundle,5,8145,26976,12345,27007,266.469,2.670274,0
