slug,stage,calls,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,latency_s,est_usd,degraded_calls
bank_audit,planner,1,2519,578,0,0,8.034,0.081135,0
bank_audit,synth_bundle,1,1432,4078,0,4666,41.286,0.414818,0
bank_audit,repair_bundle,5,23822,20630,26801,40780,209.517,2.709407,0
cache_store,planner,1,2503,471,0,0,6.535,0.07287,0
cache_store,synth_bundle,1,1323,3954,4666,0,36.849,0.323394,0
cache_store,repair_bundle,3,14200,13302,7407,20898,119.229,1.613598,0
cache_store,refine_child,2,3304,2168,3163,3163,21.739,0.276211,0
cache_store,refine_parent,1,3496,2118,0,2217,21.891,0.252859,0
leader_log,planner,1,2482,486,0,0,7.455,0.07368,0
leader_log,synth_bundle,1,1339,3509,4666,0,32.78,0.290259,0
leader_log,repair_bundle,5,23479,17943,29159,36229,176.677,2.420942,0
producer_consumer,planner,1,2448,588,0,0,9.9,0.08082,0
producer_consumer,synth_bundle,1,1344,4574,4666,0,42.134,0.370209,0
producer_consumer,repair_bundle,4,24130,21412,16990,36530,191.967,2.678272,0
producer_consumer,refine_child,3,4647,3247,6326,3163,34.128,0.382025,0
producer_consumer,refine_parent,1,4231,1869,0,2217,19.709,0.245209,0
rw_lock,planner,1,2438,655,0,0,9.718,0.085695,0
rw_lock,synth_bundle,1,1425,5072,0,4666,45.393,0.489262,0
rw_lock,repair_bundle,1,6813,5186,2469,0,44.86,0.494849,0
rw_lock,refine_child,2,3743,2908,6326,0,26.239,0.283734,0
rw_lock,refine_parent,1,3916,2330,2217,0,23.87,0.236816,0
two_phase_commit,planner,1,2449,461,0,0,14.55,0.07131,0
two_phase_commit,synth_bundle,1,1258,3506,4666,0,36.334,0.288819,0
two_phase_commit,repair_bundle,5,21613,19894,27927,35124,188.833,2.51671,0
two_phase_commit,refine_child,2,2986,2439,6326,0,22.688,0.237204,0
two_phase_commit,refine_parent,1,3352,1687,0,2217,17.491,0.218374,0
