slug,stage,calls,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,latency_s,est_usd,degraded_calls
bank_audit,planner,1,2519,587,0,0,8.298,0.08181,0
bank_audit,synth_bundle,3,1501,10816,13998,2828,111.627,0.907737,0
bank_audit,repair_bundle,3,7966,11049,7407,10586,109.958,1.157763,0
cache_store,planner,1,2503,599,0,0,8.148,0.08247,0
cache_store,synth_bundle,3,1495,9924,13998,2816,95.138,0.840522,0
cache_store,repair_bundle,3,7964,10900,7407,9022,102.092,1.117233,0
leader_log,planner,1,2482,529,0,0,7.606,0.076905,0
leader_log,synth_bundle,3,1417,11424,13998,2660,106.712,0.948927,0
leader_log,repair_bundle,3,9416,12097,7407,9669,114.793,1.240919,0
producer_consumer,planner,1,2448,562,0,0,7.334,0.07887,0
producer_consumer,synth_bundle,3,1428,11815,13998,2682,109.739,0.97883,0
producer_consumer,repair_bundle,3,10693,12531,7407,10188,118.838,1.302355,0
rw_lock,planner,1,2438,476,0,0,6.713,0.07227,0
rw_lock,synth_bundle,2,1289,8587,9332,1231,81.166,0.700439,0
rw_lock,repair_bundle,2,6880,8962,4938,6068,81.947,0.896532,0
rw_lock,refine_child,2,3616,2673,3163,3163,25.163,0.318766,0
rw_lock,refine_parent,1,3708,2944,0,2217,29.478,0.317989,0
two_phase_commit,planner,1,2449,499,0,0,7.429,0.07416,0
two_phase_commit,synth_bundle,3,1352,13590,13998,2530,123.897,1.107965,0
two_phase_commit,repair_bundle,3,9215,13999,7407,11434,126.923,1.413648,0
