slug,stage,calls,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,latency_s,est_usd,degraded_calls
bank_audit,planner,1,2519,616,0,0,8.744,0.083985,0
bank_audit,synth_bundle,1,1472,3687,0,4666,34.996,0.386093,0
bank_audit,repair_bundle,2,6474,7560,4938,9292,69.801,0.845742,0
bank_audit,refine_child,2,2821,1875,3163,3163,21.461,0.246991,0
bank_audit,refine_parent,1,3066,1269,0,2217,13.714,0.182734,0
cache_store,planner,1,2503,626,0,0,8.744,0.084495,0
cache_store,synth_bundle,2,1494,6825,9332,1436,67.936,0.575208,0
cache_store,repair_bundle,4,14937,15888,9876,24604,146.671,1.891794,0
leader_log,planner,1,2482,471,0,0,6.435,0.072555,0
leader_log,synth_bundle,2,1331,8421,9332,1273,78.588,0.689407,0
leader_log,repair_bundle,4,13657,18937,9876,28573,176.509,2.175688,0
producer_consumer,planner,1,2448,591,0,0,7.889,0.081045,0
producer_consumer,synth_bundle,1,1347,4903,4666,0,44.161,0.394929,0
producer_consumer,repair_bundle,4,25740,21961,17323,38496,208.886,2.78096,0
producer_consumer,refine_child,3,4765,2700,6326,3163,30.744,0.34277,0
producer_consumer,refine_parent,1,3811,1988,0,2217,19.803,0.247834,0
rw_lock,planner,1,2438,509,0,0,6.411,0.074745,0
rw_lock,synth_bundle,2,1322,8750,4666,5930,81.17,0.794266,0
rw_lock,repair_bundle,4,14467,18919,9876,22308,173.219,2.069019,0
rw_lock,refine_child,2,3871,3292,3163,3163,30.725,0.369016,0
rw_lock,refine_parent,1,4105,3006,0,2217,33.765,0.328594,0
two_phase_commit,planner,1,2449,614,0,0,8.594,0.082785,0
two_phase_commit,synth_bundle,1,1395,3991,4666,0,36.161,0.327249,0
two_phase_commit,repair_bundle,1,6266,4098,2469,0,35.967,0.405044,0
two_phase_commit,refine_child,2,2934,2215,6326,0,21.933,0.219624,0
two_phase_commit,refine_parent,1,3480,1828,2217,0,21.109,0.192626,0
